PF,S_AST,S_TOV,S_BLK,game_count,FG_PCT_O,REB_O,PF_O,PTS_S_O,O_FGA_S_O,O_TRB_S_O,O_WIN_PCT,avg_conf_rank_ratio,matchtup_rank,wins_rank,PC4,game_series_away_D,conf_rank_wins_in_row_B,matchup_wins,stage,PC2,opp_game_vs_season,game_vs_opp_season,matchup_REB_r_s,MCA_0
20.0,30.875,16.958333333333332,5.166666666666667,3,0.425,47.0,25.0,105.5,87.4,42.4,0.585,1.181465074473549,161.3939659090909,59.59956426705017,-2.579335881803798,0,0,0.8863636363636364,1,2.98320931671758,6,9,47.25,-0.19662385297169988
26.0,26.166666666666668,15.541666666666666,3.861111111111111,2,0.469,40.0,25.0,92.4,79.3,41.3,0.5,1.0157418339236524,77.43305555555554,51.5,-0.31951064690393005,0,0,0.5555555555555555,1,-3.840943354171644,11,4,38.0,-0.25630157493643857
15.0,25.80555555555556,15.569444444444445,4.541666666666667,5,0.457,43.0,20.0,107.2,82.9,42.1,0.512,1.1189253153322753,272.6886666666667,67.06244584051393,-1.1938089912444687,0,0,2.0,2,0.41658656908994723,6,10,36.0,0.3734641264941939
28.0,25.45833333333333,17.305555555555557,5.263888888888889,24,0.435,44.0,23.0,90.3,85.6,42.8,0.451,0.8864468864468864,361.73456410256415,98.0,4.93782210935915,0,0,2.4615384615384617,4,8.441750692117274,6,12,45.333333333333336,0.7004231878038595
16.0,23.72222222222222,16.34722222222222,4.902777777777778,14,0.448,34.0,20.0,92.9,77.3,41.2,0.5,1.0193040166204985,264.78466071428574,72.35533905932738,-1.6310895227787514,0,0,1.9285714285714286,3,0.5995623650859964,16,6,39.5,0.26311736099024113
23.5,24.569444444444443,16.625,3.75,1,0.449,40.25,18.25,98.8,78.7,40.9,0.78,0.697469839142091,101.36204464285714,47.14213562373095,-3.2717886888013736,0,0,0.6964285714285714,1,-6.658667546491349,8,12,40.5,-0.6179579609153029
28.0,18.291666666666668,13.916666666666666,4.930555555555555,16,0.412,39.0,30.0,92.5,79.7,43.2,0.545,1.0046309489883158,403.8991114864865,63.526911934581186,0.9753936178484528,0,0,2.310810810810811,3,1.6186824176602803,12,4,49.0,0.522891728662127
20.0,30.84722222222222,18.791666666666668,5.833333333333333,6,0.536,42.0,23.0,105.3,85.0,43.8,0.537,0.6708427646470495,259.9614130434782,65.02221399786055,-0.39402011379322277,0,0,1.3532608695652173,2,1.3024767308235745,10,7,42.0,-0.2634295141155373
22.0,25.83333333333333,17.333333333333332,4.388888888888889,4,0.506,34.0,26.0,92.5,81.5,45.5,0.732,0.8227173913043478,119.49646153846153,53.41241452319315,1.3207777669612242,0,0,0.6923076923076923,1,-3.0730587926464423,8,12,43.0,-0.6424208015243649
18.0,30.36111111111111,15.208333333333334,5.972222222222222,1,0.4566666666666667,47.66666666666666,13.333333333333334,111.4,90.2,44.1,0.5,1.3954802259887005,98.00395,79.30508652763321,-2.006391827168002,0,0,0.5566666666666666,1,4.122052412604743,7,13,40.75,0.2602567872680776
21.0,26.63888888888889,14.23611111111111,4.513888888888889,12,0.494,50.0,23.0,104.7,88.3,44.5,0.598,0.6220419202163624,314.1280657894737,38.0,7.0422475886959255,0,0,2.0526315789473686,2,-4.985377426087158,3,3,40.75,-0.23474184858382416
22.5,23.48611111111111,14.84722222222222,4.986111111111111,1,0.512,40.75,18.5,94.0,84.0,41.5,0.695,0.5624255262809479,86.952625,48.386365758424446,0.29177569154594507,0,0,0.5,1,-6.245778174588416,11,5,41.5,-0.6246500460872502
18.0,27.194444444444443,14.625,4.666666666666667,5,0.523,51.0,23.0,112.0,90.6,44.1,0.622,0.7773363725170955,76.57935606060607,38.7794213613377,2.9644561296144176,0,0,0.4318181818181818,1,-9.049214663295928,6,7,41.333333333333336,-0.5398683386379678
23.0,32.958333333333336,17.291666666666668,6.916666666666667,21,0.527,52.0,25.0,104.1,82.1,41.0,0.5,0.8281604231890316,507.2269090909091,84.0,12.716121948422732,0,0,2.909090909090909,4,7.183004105094282,4,2,42.5,1.0006983292725882
17.0,28.27777777777778,15.52777777777778,6.638888888888889,22,0.462,31.0,23.0,104.5,86.6,42.6,0.537,0.9490196078431373,449.943,71.06244584051393,-1.5793753556789314,0,0,3.0,4,3.8104479617627125,8,13,43.333333333333336,0.4335229305535926
27.0,25.27777777777778,18.97222222222222,5.652777777777778,8,0.453,40.0,40.0,100.5,82.3,42.9,0.61,0.8619181791569085,230.484,80.59797974644667,-1.7081113478004422,0,0,1.7142857142857142,2,0.7739120097540491,10,10,36.0,0.26373623439017935
21.0,25.58333333333333,15.944444444444445,5.180555555555555,9,0.422,45.0,19.0,100.4,87.6,42.2,0.537,1.4906622724419334,201.13225000000003,74.89087296526012,-2.6754054848270776,0,1,1.184782608695652,2,1.5438074290700876,9,10,40.333333333333336,0.1993890085967362
22.0,29.375,16.65277777777778,5.597222222222222,2,0.595,36.0,24.0,113.3,83.2,41.8,0.537,0.8666135708436626,117.6934236111111,84.0,3.984624293391194,1,0,0.7847222222222222,1,-0.5061425056327359,9,6,43.333333333333336,0.19577877515199535
17.75,26.05555555555556,16.055555555555557,7.638888888888889,1,0.4654999999999999,48.75,14.0,100.4,80.9,40.1,0.805,0.8666135708436626,85.22946527777778,37.4350288425444,-1.492765089839663,0,0,0.7847222222222222,1,-8.734951404746669,6,7,31.5,-0.6744400477728527
31.0,25.13888888888889,18.01388888888889,5.875,4,0.471,44.0,23.0,100.4,76.6,41.3,0.537,1.2570621468926555,111.2008134920635,42.5,3.587032163691376,0,0,0.7738095238095238,1,-5.377915098594668,2,5,32.0,-0.4422719207598823
20.0,17.055555555555557,12.84722222222222,4.958333333333333,9,0.372,36.0,21.0,94.4,79.8,39.8,0.561,0.7918386535658878,195.5293189655172,67.24871130596429,-6.87957148771076,0,1,1.2155172413793103,2,-0.5863504407975885,12,11,40.25,-0.354584294162839
30.0,25.13888888888889,18.01388888888889,5.875,5,0.269,40.0,25.0,100.4,76.6,41.3,0.537,1.2570621468926555,115.6025,60.5,-8.046485567915484,1,0,0.7738095238095238,1,-0.08888246564459998,11,11,46.0,-0.32756808523974745
24.0,34.59722222222222,16.819444444444443,7.708333333333333,10,0.476,37.0,24.0,104.3,83.4,41.5,0.5,0.8918482647296206,357.36047499999995,109.0,2.7963158895782034,0,0,2.175,3,11.286434820685871,11,14,45.66666666666666,1.1774865757233015
23.0,25.65277777777778,16.833333333333332,5.097222222222222,9,0.436,40.0,22.0,97.4,79.4,42.9,0.524,1.6406449553001277,275.47200000000004,72.18376618407356,-0.4660522176932902,0,0,1.6,2,3.068873022397274,11,7,36.0,0.5755768505490675
24.0,26.5,15.319444444444445,5.833333333333333,16,0.393,43.0,31.0,99.3,82.2,41.2,0.585,1.2648626091422703,218.6720600961538,97.0,0.8726037048246592,0,0,1.3365384615384615,3,5.955787575934851,6,10,38.75,0.6580554667550566
24.0,27.05555555555556,15.72222222222222,5.263888888888889,3,0.437,36.0,21.0,94.3,78.1,39.7,0.549,1.5298332644343395,189.02525735294114,82.59797974644667,-3.197592951212995,0,1,1.1470588235294117,1,2.579553719503891,14,10,42.5,0.3277779598803259
30.0,26.20833333333333,16.833333333333332,5.194444444444445,6,0.342,40.0,32.0,90.1,81.0,43.4,0.512,0.9280995280995282,100.77705555555555,73.64823227814082,-2.709012952148103,0,0,0.5833333333333334,1,1.492181959404351,12,8,41.333333333333336,0.0590220189633098
17.0,30.48611111111111,16.98611111111111,6.736111111111111,3,0.451,45.0,20.0,110.4,85.9,42.9,0.598,0.6239737274220032,234.463359375,49.59591794226543,-2.7239618435003816,0,0,1.3125,1,-1.8731087952954797,7,11,40.5,-0.4388885572098666
